item_id	run_index	run_label	tool_called	call_count	notes
cc-13:AW-38a	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-38b	1	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-13:AW-38b	2	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-13:AW-38b	3	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-13:AW-39	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-39	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-39	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-41	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-41	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-41	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-45	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-45	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-45	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-46	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-46	2	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-13:AW-46	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-49	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-49	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-49	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-53	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-53	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-13:AW-53	3	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-15:CC-15-01	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-01	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-01	3	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-15:CC-15-02	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-02	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-02	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-04	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-04	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-04	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-05	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-05	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-05	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-06	1	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-15:CC-15-06	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-06	3	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-15:CC-15-07	1	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-15:CC-15-07	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-07	3	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-15:CC-15-08	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-08	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-08	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-09	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-09	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-09	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-10	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-10	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-10	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-11	1	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-15:CC-15-11	2	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-15:CC-15-11	3	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-15:CC-15-12	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-12	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-12	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-13	1	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-15:CC-15-13	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-13	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-14	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-14	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-14	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-15	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
